index,question,answer_summary
25,Кто устанавливает порядок работы с документами на железнодорожном транспорте?,"Оформление, заполнение, передача и хранение документов должны осуществляться в соответствии с локальными нормативными актами владельца инфраструктуры."
26,Какие требования предъявляются к техническому состоянию объектов инфраструктуры?,"Объекты инфраструктуры должны обеспечивать пропуск поездов с допустимой скоростью движения, не более конструкторской скорости."
27,Какие требования предъявляются к объектам на малоинтесивных линиях?,"На малоинтенсивных линиях объекты инфраструктуры должны обеспечивать пропуск поездов со скоростями, установленными локальными нормативными актами владельца инфраструктуры."
28,"Как определяются участки, на которых возможно движение поездов без помощника машиниста?","На участках, оборудованных диспетчерской централизацией и на малоинтенсивных участках, порядок движения поездов без помощников машиниста устанавливается локальным актом владельца инфраструктуры. Перечень таких участков также определяется владельцем инфраструктуры."
29,В каком случае можно управлять поездом без помощника на интенсивных участках?,На участках с интенсивным движением без диспетчерской централизации управление поездом без помощника машиниста разрешается при на личии дежурных по станциям.
30,Каковы требования к путям необщего пользования?,"Состояние путей необщего пользования должно обеспечивать пропуск вагонов с допустимыми на путях общего пользования нормами погонных нагрузок, а также пропуск подвижного состава, предназначенного для обслуживания путей необщего пользования."
31,Что влияет на скорость на участке пути?,Скорости на участках путей общего и необщего пользования устанавливаются владельцами  в зависимости от технического состояния этих участков.
32,Какие бывают габариты объектов на железной дороге?,"Железнодорожные сооружения и устройства должны удовлетворять габаритам приближения строений С, С_П, С 250, 1-СМ. Необходимо соблюдать габариты приближения строений на всех эксплуатируемых путях, сооружениях и устройствах. "
33,Кем контролируется соблюдение габаритов?,Владелец инфраструктуры должен составить список негабаритных участков и привести их в соответствие с правилами. Они также должны проверять габариты сооружений и устройств и устранять негабаритность.
34,В каких случаях допускается нарушение габаритов приближения строений?,"Нарушение габаритов приближения строений запрещается, за исключением случаев полного закрытия движения по пути на период проведения ремонтных работ."
35,Какое расстояние между осями первого и второго главных путей?,Минимальное расстояние между осями первого и второго главных путей на прямых участках перегонов составляет 4100 мм.
36,Какое расстояние между осями третьего и четвертого главных путей?,Минимальное расстояние между осями третьего и четвертого главных путей на прямых участках перегонов составляет 4100 мм.
37,Какое расстояние между осями второго и третьего главных путей?,Минимальное расстояние между осями второго и третьего путей на прямых участках перегонов должно быть не менее 10000 мм при скорости свыше 140 км/ч и 8000 мм при скорости не выше 140 км/ч. В сложных условиях допускается уменьшение расстояния до 6000 мм и снижение скорости до 90 км/ч.
38,Расстояние между осями второго и третьего путей до реконструкции линии.,"До реконструкции линии можно сохранять расстояние между осями второго и третьего путей минимум 5000 мм, при этом скорость должна быть снижена до 90 км/ч и менее."
39,Расстояние между осями смежных путей.,"Минимальное расстояние между осями смежных путей на станциях, прямых участках составляет 4800 мм, на второстепенных путях и путях грузовых районов - 4500 мм."
40,Расстояние между осями смежных путей до реконструкции.,"До реконструкции развития станций можно сохранять расстояние между осями смежных путей не менее 4100 мм, при расположении главных путей на станциях крайними - не менее 410 мм."
41,Минимальное расстояние между осями путей для перегрузки.,Минимальное расстояние между осями для перегрузки грузов из вагона в вагон составляет 3600 мм.
42,Минимальное расстояние между осями смежных путей необщего пользования.,Минимальное расстояние между осями смежных путей на станциях необщего пользования на прямых участках составляет 4100 мм.
43,Расскажи про расстояния между осями на кривых участках.,Расстояния на кривых участках между осями смежных путей и между осью и габаритом приближения строений должны соответствоватть проектной документации и требованиям габаритов подвижного состава и приближения строений.
44,Каким требованиям должны соответствовать платформы?,Грузовые и пассажирские платформы на линиях со смешанным движением поездов должны соответствовать габариту приближения строений.
45,Как можно менять высоту пассажирских платформ?,"Допускается уменьшить максимум на 50 мм высоту пассажирских платформ с номинальной высотой 1300, 1100, 550 и 200 мм или увеличить максимум на 20 мм (кроме платформ высотой 1300 мм)."
46,Кто регулирует эксплуатацию платформ высотой 1300?,Эксплуатация и содержание платформ высотой 1300 мм регулируется локальным актом владельца инфраструктуры.
47,Как может меняться расстояние от оси до пути при эксплуатации платформ?,"При эксплуатации пассажирских платформ номинальной высотой 1300, 1100, 550 мм и расстоянием от оси 1920 мм, а также платформ номинальной высотой 200 мм и расстоянием от оси 1745 мм, допускается увеличение установленных габаритом приближения строений расстояний от оси пути максимум на 30 мм и уменьшение максимум на 25 мм."
48,В каком случае разрешено эксплуатировать платформы?,"Разрешается эксплуатировать пассажирские платформы номинальной высотой 200 мм, если их высота не больше 270 мм при минимальном расстоянии от оси пути 1425 мм."
49,Кто обеспечивает освещение мест посадки высадки?,Владелец инфраструктуры должен обеспечить освещение мест посадки-высадки и помещений для пассажиров на пассажирских остановочных пунктах.
50,Где должны быть расположены защитные ограждения пассажиров?,"Защитные ограждения от воздушного удара на пассажирских платформах устанавливаются владельцем инфраструктуры на расстоянии не менее 2 м от края высокой платформыи не менее 2,3 м от края низкой платформы."
51,Где расположена граничная линия опасной зоны?,"Линия, обозначающая границу опасной зоны, наносится владельцем инфраструктуры на расстоянии не менее 2 м от края платформы."
52,Какие железнодорожные линии должны быть ограждены?,Владелец инфраструктуры должен ограничивать железнодорожные линии на участках со скоростью движения более 160 км/ч.
53,Кто устанавливает требования к ограждениям?,Локальный нормативный акт владельца инфраструктуры регулирует требования к ограждениям на линиях.
54,В каком случае ограждения линий не нужны?,"Ограждения на линиях не устанавливаются в местах, где доступ к путям ограничен какими-либо препятствиями."
55,Требования к габаритам элементов состава.,Элементы повижного состава должны соответствовать габаритам подвижного состава.
56,Что регламентирует правила установки грузов в подвижном составе?,Грузы и контейнеры размещаются в подвижном составе в соответствии с определенными техническими условиями.
57,Как проверить соответствие груза габаритам?,"Чтобы проверить соответствие границ груза габариту погрузки, устанавливают контрольно-габаритные устройства в местах массовой погрузки."
58,Какой документ устанавливает нормы средств измерений параметров объектов железной дороги?,"Средства измерений и контроля параметров объектов на железной дороге должны соответствовать Федеральному закону от 26 июня 2008 г. номер 102-ФЗ ""Об обеспечении единства измерений""."
59,Кто устанавливает нормы пропуска по габаритам проводов?,В локальном акте владельца инфраструктуры устанавливается возможность пропуска траспортного средства по условиям габаритов проводов линий электропередачи.
60,Как разместить выгруженные грузы?,"Выгруженные или готовые к погрузке грузы должны размещаться так, чтобы не нарушался габарит приближения строений, а также должны быть закреплены от передвижений."
61,Как близко к рельсам могут находиться грузы?,"Грузы, кроме балласта, высотой менее 1,2 м должны находиться минимум в 2 м от наружной грани головки рельса, а при большей высоте - минимум в 2,5 м."
62,Где должен находиться груз на пассажирской платформе?,"Багаж, почтово-пагажные тележки и грузы на пассажирских платформах должны размещаться на расстоянии не менее 2 м от края платформы."
63,Каким требованиям должно соответствовать путевое развитие и техническое оснащение железнодорожной станции?,"Путевое развитие и техническое оснащение железнодорожной станции, должно обеспечивать движение поездов, выполнять нормы времени на различные операции, обеспечивать безопасность движения и эксплуатацию транспорта, пожарную безопасность и безопасные условия труда."
64,Где посмотреть про виды электросвязи?,Виды железнодорожной электросвязи описаны в пункте 105 ПТЭ.
65,Какими устройствами оборудуются станции?,Железнодорожные станции могут быть оборудованы автоматизированными системами управления и информационно-вычислительными сетями инфраструктуры. Они также могут иметь устройства для приема и транспортировки документов и системы ограждения составов.
66,Какие элементы железнодорожной станции должны быть освещены?,"Освещению подлежат следующие элементы железнодорожной станции: здания и сооружения для обслуживания пассажиров, железнодорожные пути и парки, территории грузовых районов, контейнерные площадки и сортировочные платформы. Также должны быть освещены вагонные весы, стрелочные горловины и пешеходные переходы."
67,Где должны освещаться железнодорожные переезды?,Освещение железнодорожных переездов является обязательным на станциях и на перегонах.
68,Зачем нужно освещение?,"Освещение на железнодорожных станциях и переездах необходимо для безопасности движения поездов, безопасности пассажиров при посадке и высадке, а также безопасности работы обслуживающего персонала. Освещение обеспечивает сохранность грузов, багажа и грузобагажа."
69,Расскажи про влияние освещения на видимость сигнальных огней.,Наружное освещение не должно создавать помех для видимости сигнальных огней.
70,Когда допускается использование объектов с действующими параметрами освещенности?,Эксплуатация объектов с действующими параметрами освещенности допускается до реконструкции этих объектов.
71,Расскажи про сортировочные горки.,"Сортировочные горки должны быть оборудованы светофорной сигнализацией,  станционной радиосвязью и устройствами двусторонней парковой связи, также они могут оборудоваться устройствами механизации роспуска вагонов, горочной централизацией стрелок, горочной локомотивной сигнализацией и устройствами для передачи документов."
72,Какими устройствами оборудуются стрелки?,"Все стрелки, включенные в горочной централизации, должны быть оборудованы устройствами для очистки от снега и льда."
73,Что должно быть на станциях с горками?,Железнодорожные станции с автоматическими и механизированными горками должны быть оборудованы мастерскими и площадками для технического обслуживания и ремонта оборудования горок.
74,В каком состоянии должны содержаться места для грузовых операций?,"Сооружения, устройства и места для выполнения грузовых операций на железнодорожных станциях и путях необщего пользования должны содержаться в состоянии, которое обеспечивает сохранность грузов, подвижного состава и безопасность выполнения грузовых операций."
75,В каком состоянии должны содержаться помещения для работников?,"Помещения для работников, обеспечивающих грузоотправителей и грузополучателей должны содержаться в состоянии, обеспечивающем выполнение операций по приему к перевозке, сортировке и выдаче грузов."
76,Как оборудуются станции для проведения осмотра грузовых поездов?,"Железнодорожные станции, на которых осуществляется грузовая работа, должны быть оборудованы устройствами для отключения напряжения в контактной сети на определенном участке пути для осмотра грузовых поездов."
77,Где устанавливаются вагонные весы?,Локальный нормативный акт владельца инфраструктуры определяет места для установки вагонных весов и других устройств выявления непригодных в коммерческом отношении вагонов.
78,Что требуется от технических средств коммерческого осмотра?,"Технические средства коммерческого осмотра, должны быть подключены к автоматизированным системам владельца инфраструктуры с целью организации передачи и хранения информации в базе данных."
79,Где прокладывают кабельные линии связи?,"Кабельные линии связи и системы железнодорожной автоматики и телемеханики, прокладываются в границах полосы отвода железных дорог, вне пределов земляного полотна."
80,Кто устанавливает порядок прокладки кабельных линий?,Локальный нормативный акт владельца инфраструктуры устанавливает порядок прокладки кабельных линий связи.
81,Где можно осуществлять подвеску линий связи?,"Подвеску линий связи на основе волоконно-оптических кабелей можно осуществлять на опорах контактной сети или линий электропередачи на высоте, установленной в документации."
82,В каком исполнении выполняются линии автоматики?,"Линии железнодорожной автоматики, телемеханики и технологической электросвязи при пересечении электрифицированных путей должны выполняться в кабельном исполнении, за исключением линий электропередачи высокого напряжения."
83,Расскажи про максимальную стрелу провеса. ,"До реконструкции воздушных линий связи допускается их эксплуатация при опреденной высоте. Стрела провеса должна быть не менее 2,5 метров от земли в ненаселенной местности, 3 метров в населенной местности и 5,5 метров от полотна автомобильных дорог. От верха головки рельса пересекаемых железнодорожных путей расстояние должно быть не менее 7,5 метров."
84,От чего должны быть защищены сооружения диний автоматики?,"Необходимо обеспечивать защиту сооружений и устройств железнодорожной автоматики и телемеханики от электромагнитных помех, влияния тягового тока и перенапряжений. Устройства защиты должны соответствовать проектной, ремонтной или эксплуатационной документации."
85,Кто устанавливает порядок эксплуатации технических средств?,"Локальный нормативный акт владельца инфраструктуры устанавливает эксплуатацию технических средств инфраструктуры, систем интервального регулирования и меры, обеспечивающие безопасность движения поездов."
86,Какие приборы и устройства должны быть установлены в служебных помещениях дежурных по станции?,"В служебных помещениях дежурных по железнодорожным станциям должны быть установлены приборы и устройства для управления и контроля железнодорожной автоматики и телемеханики, а также аппаратура автоматизированного рабочего места, связанная с работой дежурного."
87,Какими устройствами оборудуются помещения станционных и стрелочных постов?,"Помещения станционных и стрелочных постов оборудуются сигнальными приборами, инструментами и материалами. Стрелочные посты также оборудуются телефонной связью."
88,Что должны обеспечивать пассажирские объекты инфраструктуры?,"В соответствии со статьей 15 Федерального закона от 24 ноября 1995 г. номер 181-ФЗ ""О социальной защите инвалидов в Российской Федерации"" должен обеспечиваться беспрепятственный доступ пассажиров, в том числе маломобильных граждан, к сооружениям, устройствам и объектам инфраструктуры, предназначенным для пассажиров."
89,Для каких целей можно занимать помещения для пассажиров?,"Помещения, созданные для обслуживания пассажиров и других участников железнодорожного транспортного процесса,  для мероприятий, связанных с предоставлением дополнительных услуг пассажирам, не могут быть использованы для иных целей."
90,Какие объекты должны быть на пешеходных переходах?,"На инфраструктуре и железнодорожных путях необщего пользования, пешеходные переходы, расположенные на одном уровне с железными путями, должны быть оборудованы пешеходными мостиками, указателями и предупреждениями. Владелец инфраструктуры утверждает локальным актом перечень переходов, которые в дополнение оборудуются автоматическими системами сигнализации."
91,"Кем утверждаются объекты, где должны быть установлены устройства отображения времени?","Локальный нормативный акт владельца инфраструктуры определяет перечень объектов, которые подлежат оборудованию устройствами отображения времени."
92,Что такое система единого точного времени?,"Информационно-вычислительные системы контроля и управления объектами инфраструктуры оборудуются системами Единого точного времени - комплексом технических средств и линий, которые обеспечивают выдачу, корректировку и демонстрацию точного времени, синхронизированного с эталонными сигналами точного времени Российской Федерации. Перечень систем, подлежащих оборудованию системами Единого точного времени, устанавливается локальным актом владельца инфраструктуры."
93,Какая погрешность у устройств отображения времени?,Устройства отображения времени в железнодорожных системах могут иметь погрешность не более 5 секунд.
94,Какая погрешность устройств учета времени?,Устройства учета времени в информационно-управляющих системах могут иметь погрешность не более 1 секунды.
95,Какие требования предъявляются к автоматизированным системам управления?,"Автоматизированные системы управления, используемые на железнодорожном транспорте, должны соответствовать требованиям функциональной, информационной безопасности и защиты информации в автоматизированных системах управления на критически важных, потенциально опасных и представляющих повышенную угрозу объектах. Требования утверждены приказом Федеральной службы по техническому и экспортному контролю от 14 марта 2014 года №31."
96,Какие функции должны выполнять автоматизированные системы управления на железнодорожном транспорте?,"Автоматизированные системы управления должны быть исправными и обеспечивать выполнение следующих функций: ввод, передача, обработка и хранение данных, их архивирование и резервирование; выдача результатов расчетов; решение задач планирования, управления, учета и статистики."
97,Кто подключает оборудование к автоматизированным системам?,Владелец автоматизированных систем подключает к ним терминальное и другое оборудование.
98,Какие функции у устройств водоснабжения?,"Системы водоснабжения и водоподготовки, принадлежащие владельцу инфраструктуры, должны обеспечивать непрерывную подачу воды для локомотивов, поездов, станций и прочих хозяйственных, противопожарных и питьевых нужд, необходимых для работы железнодорожного транспорта. Владельцы инфраструктуры и железнодорожных путей необщего пользования обязаны поддерживать очистные сооружения в рабочем состоянии."
99,Какие бывают средства для устранения последствий транспортных происшествий?,"Для быстрого реагирования на транспортные происшествия и чрезвычайные ситуации на железнодорожном транспорте владелец инфраструктуры должен разместить восстановительные и пожарные поезда, а также подразделения пожарной охраны. Восстановительные поезда используются для возобновления движения, ликвидации последствий происшествий и других нарушений безопасности. Пожарные поезда и подразделения проводят профилактику и тушение пожаров, а также спасательные работы в зоне чрезвычайной ситуации."
100,Какие обязанности владельцев путей необщего пользования в области аварийных ситуаций?,"В соответствии со статьей 24 Федерального закона ""О железнодорожном транспорте"", владельцы железнодорожных путей необщего пользования должны обеспечить наличие необходимого и достаточного количества восстановительных средств, средств пожаротушения и других ресурсов для предупреждения и ликвидации аварийных ситуаций."
